r,N_emp,N_remark12,N_safe_r4,emp_over_remark12,n_exceptions,max_q,beyond_paper,source
2,6,6,16,1.0,2,56,False,r10_run
3,17,17,81,1.0,4,67,False,r10_run
4,42,56,256,0.75,7,106,False,r10_run
5,102,171,625,0.596,7,257,False,r10_run
6,278,434,1296,0.641,18,652,False,r10_run
7,492,940,2401,0.523,8,1411,False,r10_run
8,762,1810,4096,0.421,18,2716,False,r10_run
9,578,3188,6561,0.181,15,4783,True,r10_run
10,1182,5242,10000,0.225,27,7864,True,r10_run
11,1410,8164,14641,0.172709,11,12247,True,r11_12_run
12,1742,12170,20736,0.143139,41,15000,True,r11_12_run
